Slice	time	Mean
550	73.33333333333333	4.0
551	73.46666666666667	4.0
552	73.6	4.0
553	73.73333333333333	4.0
554	73.86666666666666	6.0
555	74.0	8.0
556	74.13333333333334	23.0
557	74.26666666666667	34.0
558	74.4	34.0
559	74.53333333333333	25.5
560	74.66666666666667	16.5
561	74.8	12.0
562	74.93333333333334	10.0
563	75.06666666666666	8.5
564	75.2	10.0
565	75.33333333333333	8.0
566	75.46666666666667	8.5
567	75.6	6.0
568	75.73333333333333	6.0
569	75.86666666666666	6.0
570	76.0	6.0
571	76.13333333333334	6.0
572	76.26666666666667	6.0
573	76.4	6.0
574	76.53333333333333	4.0
575	76.66666666666667	4.0
576	76.8	6.0
577	76.93333333333334	6.0
578	77.06666666666666	6.0
579	77.2	6.0
580	77.33333333333333	5.5
581	77.46666666666667	6.0
582	77.6	6.0
583	77.73333333333333	6.0
584	77.86666666666666	5.5
585	78.0	7.0
586	78.13333333333334	6.0
587	78.26666666666667	5.5
588	78.4	4.0
589	78.53333333333333	3.5
590	78.66666666666667	3.0
591	78.8	3.0
592	78.93333333333334	3.0
593	79.06666666666666	3.0
594	79.2	3.0
595	79.33333333333333	3.5
596	79.46666666666667	3.5
597	79.6	3.0
598	79.73333333333333	4.0
599	79.86666666666666	4.0
600	80.0	4.0
601	80.13333333333334	4.0
602	80.26666666666667	4.0
603	80.4	4.0
604	80.53333333333333	4.0
605	80.66666666666667	6.0
606	80.8	15.0
607	80.93333333333334	26.0
608	81.06666666666666	41.0
609	81.2	34.0
610	81.33333333333333	23.0
611	81.46666666666667	16.5
612	81.6	15.0
613	81.73333333333333	9.5
614	81.86666666666666	9.0
615	82.0	9.0
616	82.13333333333334	8.0
617	82.26666666666667	8.0
618	82.4	6.5
619	82.53333333333333	6.0
620	82.66666666666667	6.0
621	82.8	7.0
622	82.93333333333334	6.0
623	83.06666666666666	7.0
624	83.2	6.5
625	83.33333333333333	6.0
626	83.46666666666667	6.0
627	83.6	5.5
628	83.73333333333333	6.0
629	83.86666666666666	6.0
630	84.0	6.0
631	84.13333333333334	6.0
632	84.26666666666667	6.0
633	84.4	3.5
634	84.53333333333333	4.0
635	84.66666666666667	1.5
636	84.8	4.0
637	84.93333333333334	6.0
638	85.06666666666666	4.0
639	85.2	4.0
640	85.33333333333333	4.0
641	85.46666666666667	4.0
642	85.6	3.5
643	85.73333333333333	3.5
644	85.86666666666666	4.0
645	86.0	3.0
646	86.13333333333334	3.0
647	86.26666666666667	3.0
648	86.4	3.5
649	86.53333333333333	4.0
650	86.66666666666667	4.0
651	86.8	3.5
652	86.93333333333334	3.5
653	87.06666666666666	4.0
654	87.2	3.5
655	87.33333333333333	5.0
656	87.46666666666667	4.0
657	87.6	4.0
658	87.73333333333333	6.0
659	87.86666666666666	14.0
660	88.0	25.0
661	88.13333333333334	34.5
662	88.26666666666667	35.5
663	88.4	31.5
664	88.53333333333333	24.0
665	88.66666666666667	15.0
666	88.8	14.0
667	88.93333333333334	11.5
668	89.06666666666666	9.0
669	89.2	8.0
670	89.33333333333333	8.0
671	89.46666666666667	8.0
672	89.6	6.0
673	89.73333333333333	6.0
674	89.86666666666666	8.0
675	90.0	6.0
676	90.13333333333334	6.0
677	90.26666666666667	6.0
678	90.4	6.0
679	90.53333333333333	6.0
680	90.66666666666667	6.0
681	90.8	5.0
682	90.93333333333334	4.0
683	91.06666666666666	4.0
684	91.2	6.0
685	91.33333333333333	4.0
686	91.46666666666667	6.0
687	91.6	6.0
688	91.73333333333333	4.0
689	91.86666666666666	4.5
690	92.0	4.0
691	92.13333333333334	4.0
692	92.26666666666667	4.0
693	92.4	4.0
694	92.53333333333333	4.0
695	92.66666666666667	4.0
696	92.8	2.0
697	92.93333333333334	4.0
698	93.06666666666666	4.0
699	93.2	4.0
700	93.33333333333333	4.0
701	93.46666666666667	4.0
702	93.6	4.0
703	93.73333333333333	4.0
704	93.86666666666666	4.0
705	94.0	4.0
706	94.13333333333334	4.0
707	94.26666666666667	4.0
708	94.4	4.0
709	94.53333333333333	4.0
710	94.66666666666667	6.5
711	94.8	13.0
712	94.93333333333334	29.5
713	95.06666666666666	41.0
714	95.2	34.5
715	95.33333333333333	22.5
716	95.46666666666667	16.0
717	95.6	15.0
718	95.73333333333333	12.5
719	95.86666666666666	10.5
720	96.0	10.5
721	96.13333333333334	9.0
722	96.26666666666667	8.0
723	96.4	6.0
724	96.53333333333333	6.0
725	96.66666666666667	6.0
726	96.8	6.0
727	96.93333333333334	8.0
728	97.06666666666666	8.0
729	97.2	8.0
730	97.33333333333333	6.0
731	97.46666666666667	6.0
732	97.6	6.0
733	97.73333333333333	5.5
734	97.86666666666666	6.0
735	98.0	5.5
736	98.13333333333334	4.0
737	98.26666666666667	6.0
738	98.4	6.0
739	98.53333333333333	2.0
740	98.66666666666667	2.0
741	98.8	2.0
742	98.93333333333334	4.0
743	99.06666666666666	4.0
744	99.2	4.0
745	99.33333333333333	4.5
746	99.46666666666667	4.0
747	99.6	4.0
748	99.73333333333333	4.0
749	99.86666666666666	4.0
750	100.0	4.0
751	100.13333333333334	4.0
752	100.26666666666667	4.0
753	100.4	4.0
754	100.53333333333333	4.0
755	100.66666666666667	4.0
756	100.8	4.0
757	100.93333333333334	4.0
758	101.06666666666666	6.0
759	101.2	8.0
760	101.33333333333333	15.5
761	101.46666666666667	19.5
762	101.6	25.0
763	101.73333333333333	19.5
764	101.86666666666666	16.0
765	102.0	15.5
766	102.13333333333334	11.5
767	102.26666666666667	9.0
768	102.4	8.5
769	102.53333333333333	8.0
770	102.66666666666667	8.0
771	102.8	6.0
772	102.93333333333334	7.0
773	103.06666666666666	8.0
774	103.2	7.0
775	103.33333333333333	6.0
776	103.46666666666667	6.0
777	103.6	3.5
778	103.73333333333333	3.5
779	103.86666666666666	6.0
780	104.0	6.0
781	104.13333333333334	5.0
782	104.26666666666667	5.0
783	104.4	4.0
784	104.53333333333333	4.0
785	104.66666666666667	6.0
786	104.8	4.0
787	104.93333333333334	4.0
788	105.06666666666666	6.0
789	105.2	4.0
790	105.33333333333333	6.0
791	105.46666666666667	6.0
792	105.6	4.0
793	105.73333333333333	5.5
794	105.86666666666666	4.0
795	106.0	4.0
796	106.13333333333334	4.0
797	106.26666666666667	4.0
798	106.4	4.0
799	106.53333333333333	4.0
800	106.66666666666667	4.0
801	106.8	4.0
802	106.93333333333334	4.0
803	107.06666666666666	4.0
804	107.2	4.0
805	107.33333333333333	4.0
806	107.46666666666667	6.0
807	107.6	8.0
808	107.73333333333333	15.5
809	107.86666666666666	33.0
810	108.0	36.0
811	108.13333333333334	29.0
812	108.26666666666667	20.5
813	108.4	14.0
814	108.53333333333333	9.5
815	108.66666666666667	10.0
816	108.8	9.0
817	108.93333333333334	8.0
818	109.06666666666666	8.0
819	109.2	8.0
820	109.33333333333333	8.0
821	109.46666666666667	6.0
822	109.6	8.0
823	109.73333333333333	8.0
824	109.86666666666666	4.0
825	110.0	4.0
826	110.13333333333334	4.0
827	110.26666666666667	4.0
828	110.4	6.0
829	110.53333333333333	6.0
830	110.66666666666667	6.0
831	110.8	6.0
832	110.93333333333334	6.0
833	111.06666666666666	6.0
834	111.2	6.0
835	111.33333333333333	4.0
836	111.46666666666667	4.0
837	111.6	4.0
838	111.73333333333333	4.0
839	111.86666666666666	4.0
840	112.0	4.0
841	112.13333333333334	4.0
842	112.26666666666667	4.0
843	112.4	4.0
844	112.53333333333333	4.0
845	112.66666666666667	4.0
