Frequency	Power
1.396648e+00	1.001525e+04
1.401304e+00	3.999010e+03
1.405959e+00	2.257352e+04
1.410615e+00	8.570904e+02
1.415270e+00	2.290695e+04
1.419926e+00	4.486590e+04
1.424581e+00	1.015550e+04
1.429236e+00	2.042676e+04
1.433892e+00	2.344442e+04
1.438547e+00	1.860874e+04
1.443203e+00	9.260915e+03
1.447858e+00	3.981847e+04
1.452514e+00	5.185419e+04
1.457169e+00	2.073356e+03
1.461825e+00	1.718068e+04
1.466480e+00	3.989829e+04
1.471136e+00	6.574650e+03
1.475791e+00	4.569894e+03
1.480447e+00	4.562861e+04
1.485102e+00	7.745922e+03
1.489758e+00	7.344057e+04
1.494413e+00	2.792875e+03
1.499069e+00	1.316198e+04
1.503724e+00	3.605993e+04
1.508380e+00	1.281298e+04
1.513035e+00	1.398628e+03
1.517691e+00	2.241666e+03
1.522346e+00	1.593157e+03
1.527002e+00	1.334714e+04
1.531657e+00	5.174684e+03
1.536313e+00	1.332554e+04
1.540968e+00	1.155168e+03
1.545624e+00	1.567996e+03
1.550279e+00	5.398954e+03
1.554935e+00	2.536645e+04
1.559590e+00	2.435917e+04
1.564246e+00	1.354297e+03
1.568901e+00	1.029902e+04
1.573557e+00	6.718643e+03
1.578212e+00	8.951411e+03
1.582868e+00	1.181514e+04
1.587523e+00	2.325568e+04
1.592179e+00	1.894929e+04
1.596834e+00	2.491395e+04
1.601490e+00	1.269159e+04
1.606145e+00	3.692907e+03
1.610801e+00	1.895379e+04
1.615456e+00	8.131042e+03
1.620112e+00	1.079936e+04
1.624767e+00	2.408511e+04
1.629423e+00	1.426866e+04
1.634078e+00	5.142936e+03
1.638734e+00	4.346448e+04
1.643389e+00	2.119722e+04
1.648045e+00	2.355634e+02
1.652700e+00	1.397587e+04
1.657356e+00	1.670045e+04
1.662011e+00	1.276996e+04
1.666667e+00	9.502410e+02
1.671322e+00	1.899840e+04
1.675978e+00	2.064029e+01
1.680633e+00	3.521349e+03
1.685289e+00	3.037428e+03
1.689944e+00	4.032309e+03
1.694600e+00	3.024979e+03
1.699255e+00	2.090047e+03
1.703911e+00	3.990315e+04
1.708566e+00	2.799714e+03
1.713222e+00	1.096134e+04
1.717877e+00	3.273530e+04
1.722533e+00	6.998909e+03
1.727188e+00	5.764483e+02
1.731844e+00	2.097315e+04
1.736499e+00	3.457743e+03
1.741155e+00	1.509911e+04
1.745810e+00	1.324275e+04
1.750466e+00	3.374779e+03
1.755121e+00	2.245896e+04
1.759777e+00	1.122436e+04
1.764432e+00	1.771249e+02
1.769088e+00	5.242220e+03
1.773743e+00	2.780042e+04
1.778399e+00	5.427867e+03
1.783054e+00	2.725765e+04
1.787709e+00	4.090222e+03
1.792365e+00	3.060603e+04
1.797020e+00	4.085673e+03
1.801676e+00	1.091128e+03
1.806331e+00	4.377793e+03
1.810987e+00	4.287059e+02
1.815642e+00	4.303701e+03
1.820298e+00	1.742503e+03
1.824953e+00	1.913970e+03
1.829609e+00	3.526793e+03
1.834264e+00	9.259724e+03
1.838920e+00	2.120522e+03
1.843575e+00	3.974710e+03
1.848231e+00	7.275810e+03
1.852886e+00	1.058486e+04
1.857542e+00	1.028359e+04
1.862197e+00	5.113103e+03
1.866853e+00	3.214683e+03
1.871508e+00	1.207874e+03
1.876164e+00	2.926181e+03
1.880819e+00	1.489179e+04
1.885475e+00	9.608096e+03
1.890130e+00	6.764268e+03
1.894786e+00	7.236293e+01
1.899441e+00	7.453921e+01
1.904097e+00	1.788765e+04
1.908752e+00	1.300956e+03
1.913408e+00	7.497016e+02
1.918063e+00	2.358020e+03
1.922719e+00	2.645776e+04
1.927374e+00	4.788543e+01
1.932030e+00	1.751805e+04
1.936685e+00	4.438163e+03
1.941341e+00	4.769784e+01
1.945996e+00	2.391682e+02
1.950652e+00	3.151703e+02
1.955307e+00	6.665278e+02
1.959963e+00	6.133704e+03
1.964618e+00	5.247099e+03
1.969274e+00	1.202791e+04
1.973929e+00	9.115589e+03
1.978585e+00	1.064499e+03
1.983240e+00	6.527676e+03
1.987896e+00	7.431905e+03
1.992551e+00	4.941569e+03
1.997207e+00	2.452136e+03
2.001862e+00	6.066983e+03
2.006518e+00	4.474593e+01
2.011173e+00	1.019707e+04
2.015829e+00	2.345132e+03
2.020484e+00	6.543438e+03
2.025140e+00	1.004540e+03
2.029795e+00	4.647644e+03
2.034451e+00	7.190731e+03
2.039106e+00	2.797792e+01
2.043762e+00	2.167703e+03
2.048417e+00	2.722626e+03
2.053073e+00	2.162021e+03
2.057728e+00	7.413333e+03
2.062384e+00	2.525237e+03
2.067039e+00	9.607023e+02
2.071695e+00	8.698256e+03
2.076350e+00	5.448222e+03
2.081006e+00	1.317636e+04
2.085661e+00	1.305860e+04
2.090317e+00	1.105233e+03
2.094972e+00	2.122363e+03
2.099628e+00	9.537613e+02
2.104283e+00	5.118259e+03
2.108939e+00	6.862299e+02
2.113594e+00	1.968916e+03
2.118250e+00	2.650816e+02
2.122905e+00	4.279470e+03
2.127561e+00	9.212504e+03
2.132216e+00	8.354937e+03
2.136872e+00	7.353848e+02
2.141527e+00	4.202363e+02
2.146182e+00	3.119165e+03
2.150838e+00	9.663636e+03
2.155493e+00	4.678873e+03
2.160149e+00	2.811825e+03
2.164804e+00	1.429666e+02
2.169460e+00	6.498998e+03
2.174115e+00	3.941968e+03
2.178771e+00	4.590352e+03
2.183426e+00	3.284136e+03
2.188082e+00	4.561656e+02
2.192737e+00	2.116022e+03
2.197393e+00	2.210339e+03
2.202048e+00	6.550874e+03
2.206704e+00	1.833844e+03
2.211359e+00	5.770158e+03
2.216015e+00	3.070095e+03
2.220670e+00	9.697763e+02
2.225326e+00	6.106833e+03
2.229981e+00	1.884128e+03
2.234637e+00	6.354552e+02
2.239292e+00	1.809099e+03
2.243948e+00	9.918031e+00
2.248603e+00	1.073407e+03
2.253259e+00	9.246151e+01
2.257914e+00	1.286967e+03
2.262570e+00	3.688344e+03
2.267225e+00	2.780149e+03
2.271881e+00	1.079279e+03
2.276536e+00	1.606564e+02
2.281192e+00	3.302164e+03
2.285847e+00	2.515852e+03
2.290503e+00	2.787951e+03
2.295158e+00	8.122717e+02
2.299814e+00	6.486414e+03
2.304469e+00	2.846165e+03
2.309125e+00	6.050039e+03
2.313780e+00	2.567966e+03
2.318436e+00	2.708389e+03
2.323091e+00	1.846493e+03
2.327747e+00	8.176319e+00
2.332402e+00	1.411319e+03
2.337058e+00	2.807557e+03
2.341713e+00	1.283553e+03
2.346369e+00	1.662038e+03
2.351024e+00	1.162430e+03
2.355680e+00	3.602630e+03
2.360335e+00	2.323493e+03
2.364991e+00	1.276990e+03
2.369646e+00	4.629661e+03
2.374302e+00	2.184474e+03
2.378957e+00	2.786466e+03
2.383613e+00	5.322400e+02
2.388268e+00	3.692403e+03
2.392924e+00	7.892959e+02
2.397579e+00	9.396830e+02
2.402235e+00	3.171828e+03
2.406890e+00	4.504185e+02
2.411546e+00	2.602842e+03
2.416201e+00	1.568033e+03
2.420857e+00	6.719509e+02
2.425512e+00	2.874978e+02
2.430168e+00	1.866331e+03
2.434823e+00	7.728152e+01
2.439479e+00	2.472888e+03
2.444134e+00	2.026061e+02
2.448790e+00	2.683631e+03
2.453445e+00	8.976827e+03
2.458101e+00	6.009841e+02
2.462756e+00	9.965031e+02
2.467412e+00	1.400452e+02
2.472067e+00	5.062614e+03
2.476723e+00	1.825530e+03
2.481378e+00	4.623671e+02
2.486034e+00	9.975061e+03
2.490689e+00	9.783632e+02
2.495345e+00	2.108060e+03
2.500000e+00	5.430000e+02
